tf,target,truth
POU3F1,ACAT2,1
POU3F2,ACAT2,1
RFX2,ACAT2,1
SATB2,ACAT2,1
SOX2,ACAT2,1
SOX5,ACAT2,1
SOX6,ACAT2,1
SOX9,ACAT2,1
TBR1,ACAT2,1
TCF12,ACAT2,1
TCF3,ACAT2,1
TCF7L1,ACAT2,1
TFAP2C,ACAT2,1
VEZF1,ACAT2,1
ZBTB18,ACAT2,1
ZBTB20,ACAT2,1
ZNF148,ACAT2,1
ZNF219,ACAT2,1
ZNF281,ACAT2,1
ZNF441,ACAT2,1
ARX,ACLY,0
ASCL1,ACLY,1
ATF7,ACLY,1
BHLHE22,ACLY,1
CTCF,ACLY,0
DEAF1,ACLY,1
E2F1,ACLY,1
EMX1,ACLY,0
FOS,ACLY,0
JUN,ACLY,1
KAT7,ACLY,1
KLF10,ACLY,1
KLF11,ACLY,1
KLF3,ACLY,1
MEF2C,ACLY,1
MEIS2,ACLY,1
NEUROD2,ACLY,1
NEUROD6,ACLY,1
NFIA,ACLY,1
NFIB,ACLY,1
NR2E1,ACLY,1
NR4A2,ACLY,1
PHF21A,ACLY,0
POU2F1,ACLY,1
POU3F1,ACLY,0
POU3F2,ACLY,0
RFX2,ACLY,1
SATB2,ACLY,1
SOX2,ACLY,1
SOX5,ACLY,0
SOX6,ACLY,1
SOX9,ACLY,0
TBR1,ACLY,0
TCF12,ACLY,0
TCF3,ACLY,0
TCF7L1,ACLY,1
TFAP2C,ACLY,0
VEZF1,ACLY,1
ZBTB18,ACLY,0
ZBTB20,ACLY,1
ZNF148,ACLY,1
ZNF219,ACLY,0
ZNF281,ACLY,0
ZNF441,ACLY,0
ARX,ACOT9,1
ASCL1,ACOT9,0
ATF7,ACOT9,1
BHLHE22,ACOT9,0
CTCF,ACOT9,1
DEAF1,ACOT9,0
E2F1,ACOT9,1
EMX1,ACOT9,0
FOS,ACOT9,0
JUN,ACOT9,0
KAT7,ACOT9,0
KLF10,ACOT9,1
KLF11,ACOT9,1
KLF3,ACOT9,0
MEF2C,ACOT9,0
MEIS2,ACOT9,1
NEUROD2,ACOT9,1
NEUROD6,ACOT9,1
NFIA,ACOT9,1
NFIB,ACOT9,0
NR2E1,ACOT9,1
NR4A2,ACOT9,1
PHF21A,ACOT9,0
POU2F1,ACOT9,1
POU3F1,ACOT9,0
POU3F2,ACOT9,0
RFX2,ACOT9,1
SATB2,ACOT9,0
SOX2,ACOT9,0
SOX5,ACOT9,1
SOX6,ACOT9,0
SOX9,ACOT9,0
TBR1,ACOT9,1
TCF12,ACOT9,0
TCF3,ACOT9,1
TCF7L1,ACOT9,1
TFAP2C,ACOT9,1
VEZF1,ACOT9,1
ZBTB18,ACOT9,0
ZBTB20,ACOT9,0
ZNF148,ACOT9,0
ZNF219,ACOT9,1
ZNF281,ACOT9,1
ZNF441,ACOT9,1
ARX,ACP5,0
ASCL1,ACP5,0
ATF7,ACP5,0
BHLHE22,ACP5,0
CTCF,ACP5,0
DEAF1,ACP5,0
E2F1,ACP5,0
EMX1,ACP5,0
FOS,ACP5,0
JUN,ACP5,0
KAT7,ACP5,0
KLF10,ACP5,0
KLF11,ACP5,0
KLF3,ACP5,0
MEF2C,ACP5,0
MEIS2,ACP5,0
NEUROD2,ACP5,0
NEUROD6,ACP5,0
NFIA,ACP5,0
NFIB,ACP5,0
NR2E1,ACP5,0
NR4A2,ACP5,0
PHF21A,ACP5,0
POU2F1,ACP5,0
POU3F1,ACP5,0
POU3F2,ACP5,0
RFX2,ACP5,0
SATB2,ACP5,0
SOX2,ACP5,0
SOX5,ACP5,0
SOX6,ACP5,0
SOX9,ACP5,0
TBR1,ACP5,0
TCF12,ACP5,1
TCF3,ACP5,0
TCF7L1,ACP5,0
