tf,target
NR4A2,E2F3
POU2F1,E2F3
POU3F1,E2F3
POU3F2,E2F3
RFX2,E2F3
SATB2,E2F3
SOX2,E2F3
SOX5,E2F3
SOX6,E2F3
SOX9,E2F3
TBR1,E2F3
TCF3,E2F3
TCF7L1,E2F3
TFAP2C,E2F3
VEZF1,E2F3
ZBTB18,E2F3
ZBTB20,E2F3
ZNF148,E2F3
ZNF219,E2F3
ZNF281,E2F3
ZNF441,E2F3
ARX,E2F5
ATF7,E2F5
BHLHE22,E2F5
CTCF,E2F5
DEAF1,E2F5
E2F1,E2F5
EMX1,E2F5
FOS,E2F5
JUN,E2F5
KAT7,E2F5
KLF10,E2F5
KLF11,E2F5
KLF3,E2F5
MEF2C,E2F5
MEIS2,E2F5
NEUROD2,E2F5
NEUROD6,E2F5
NFIA,E2F5
NFIB,E2F5
NR2E1,E2F5
POU2F1,E2F5
RFX2,E2F5
SOX2,E2F5
SOX5,E2F5
SOX6,E2F5
SOX9,E2F5
TCF3,E2F5
TCF7L1,E2F5
TFAP2C,E2F5
VEZF1,E2F5
ZBTB18,E2F5
ZNF148,E2F5
ZNF219,E2F5
ZNF281,E2F5
ARX,E2F6
DEAF1,E2F6
E2F1,E2F6
FOS,E2F6
JUN,E2F6
KAT7,E2F6
KLF3,E2F6
MEF2C,E2F6
MEIS2,E2F6
NR2E1,E2F6
PHF21A,E2F6
POU2F1,E2F6
RFX2,E2F6
VEZF1,E2F6
ZNF148,E2F6
ARX,E2F7
E2F1,E2F7
JUN,E2F7
KLF11,E2F7
MEF2C,E2F7
NFIA,E2F7
NR2E1,E2F7
NR4A2,E2F7
POU2F1,E2F7
RFX2,E2F7
SOX9,E2F7
TBR1,E2F7
ZNF148,E2F7
ZNF219,E2F7
ZNF281,E2F7
ZNF441,E2F7
ARX,E2F8
DEAF1,E2F8
E2F1,E2F8
MEF2C,E2F8
MEIS2,E2F8
NEUROD2,E2F8
NFIB,E2F8
NR2E1,E2F8
POU2F1,E2F8
SOX2,E2F8
ZNF148,E2F8
SOX2,EBF2
ARX,EBF3
CTCF,EBF3
KLF11,EBF3
MEF2C,EBF3
NFIA,EBF3
NR4A2,EBF3
POU2F1,EBF3
SOX2,EBF3
TBR1,EBF3
TCF3,EBF3
TCF7L1,EBF3
TFAP2C,EBF3
ZNF219,EBF3
ARX,ECI2
ATF7,ECI2
BHLHE22,ECI2
CTCF,ECI2
DEAF1,ECI2
E2F1,ECI2
EMX1,ECI2
FOS,ECI2
JUN,ECI2
KAT7,ECI2
KLF10,ECI2
KLF11,ECI2
KLF3,ECI2
MEF2C,ECI2
MEIS2,ECI2
NEUROD6,ECI2
NFIA,ECI2
NFIB,ECI2
NR2E1,ECI2
NR4A2,ECI2
PHF21A,ECI2
POU2F1,ECI2
POU3F2,ECI2
RFX2,ECI2
SATB2,ECI2
SOX2,ECI2
SOX5,ECI2
SOX6,ECI2
TBR1,ECI2
TCF7L1,ECI2
TFAP2C,ECI2
VEZF1,ECI2
ZBTB18,ECI2
ZBTB20,ECI2
ZNF148,ECI2
ZNF219,ECI2
ZNF281,ECI2
ZNF441,ECI2
ARX,ECT2
BHLHE22,ECT2
DEAF1,ECT2
E2F1,ECT2
FOS,ECT2
KLF11,ECT2
KLF3,ECT2
MEF2C,ECT2
MEIS2,ECT2
NEUROD2,ECT2
NFIA,ECT2
NFIB,ECT2
NR2E1,ECT2
POU2F1,ECT2
RFX2,ECT2
SOX2,ECT2
SOX9,ECT2
TBR1,ECT2
TCF7L1,ECT2
VEZF1,ECT2
ZBTB20,ECT2
ZNF148,ECT2
ZNF219,ECT2
ZNF281,ECT2
ZNF441,ECT2
ARX,EDIL3
NFIB,EDIL3
SOX2,EDIL3
SOX9,EDIL3
TBR1,EDIL3
TFAP2C,EDIL3
VEZF1,EDIL3
ZNF148,EDIL3
ASCL1,EDNRB
ATF7,EDNRB
BHLHE22,EDNRB
CTCF,EDNRB
DEAF1,EDNRB
E2F1,EDNRB
EMX1,EDNRB
FOS,EDNRB
KAT7,EDNRB
KLF10,EDNRB
KLF11,EDNRB
KLF3,EDNRB
MEF2C,EDNRB
MEIS2,EDNRB
NEUROD6,EDNRB
NFIA,EDNRB
NFIB,EDNRB
NR2E1,EDNRB
NR4A2,EDNRB
POU2F1,EDNRB
POU3F1,EDNRB
POU3F2,EDNRB
RFX2,EDNRB
SATB2,EDNRB
SOX2,EDNRB
SOX5,EDNRB
SOX6,EDNRB
SOX9,EDNRB
TBR1,EDNRB
TCF7L1,EDNRB
TFAP2C,EDNRB
VEZF1,EDNRB
ZBTB18,EDNRB
ZBTB20,EDNRB
ZNF148,EDNRB
ZNF219,EDNRB
ZNF281,EDNRB
ZNF441,EDNRB
ARX,EEF1A2
ASCL1,EEF1A2
DEAF1,EEF1A2
E2F1,EEF1A2
EMX1,EEF1A2
KAT7,EEF1A2
NEUROD2,EEF1A2
NFIA,EEF1A2
SOX6,EEF1A2
TBR1,EEF1A2
ZNF219,EEF1A2
ZNF441,EEF1A2
ARX,EFNA5
BHLHE22,EFNA5
CTCF,EFNA5
DEAF1,EFNA5
E2F1,EFNA5
EMX1,EFNA5
FOS,EFNA5
JUN,EFNA5
KAT7,EFNA5
KLF10,EFNA5
KLF11,EFNA5
KLF3,EFNA5
MEF2C,EFNA5
MEIS2,EFNA5
NEUROD2,EFNA5
NEUROD6,EFNA5
NFIA,EFNA5
NFIB,EFNA5
NR4A2,EFNA5
POU2F1,EFNA5
POU3F1,EFNA5
POU3F2,EFNA5
RFX2,EFNA5
SOX2,EFNA5
SOX5,EFNA5
SOX6,EFNA5
SOX9,EFNA5
TBR1,EFNA5
TCF12,EFNA5
TCF3,EFNA5
TCF7L1,EFNA5
TFAP2C,EFNA5
VEZF1,EFNA5
ZBTB18,EFNA5
ZBTB20,EFNA5
ZNF148,EFNA5
ZNF219,EFNA5
ZNF281,EFNA5
ARX,EFNB1
ATF7,EFNB1
DEAF1,EFNB1
E2F1,EFNB1
EMX1,EFNB1
FOS,EFNB1
JUN,EFNB1
KLF10,EFNB1
KLF11,EFNB1
MEF2C,EFNB1
MEIS2,EFNB1
NEUROD2,EFNB1
NEUROD6,EFNB1
NFIB,EFNB1
NR2E1,EFNB1
NR4A2,EFNB1
POU2F1,EFNB1
POU3F2,EFNB1
RFX2,EFNB1
SOX6,EFNB1
TBR1,EFNB1
TCF12,EFNB1
TCF7L1,EFNB1
VEZF1,EFNB1
ZBTB18,EFNB1
ZNF148,EFNB1
ZNF219,EFNB1
ZNF281,EFNB1
KLF11,EFNB2
KLF3,EFNB2
MEF2C,EFNB2
MEIS2,EFNB2
NEUROD6,EFNB2
NR2E1,EFNB2
SOX2,EFNB2
VEZF1,EFNB2
ZNF148,EFNB2
VEZF1,EFNB3
MEIS2,EGLN1
KLF3,EGLN3
NFIB,EGLN3
RFX2,EGLN3
TCF7L1,EGLN3
ZBTB18,EGLN3
CTCF,EGR1
NR2E1,EGR1
SOX9,EGR1
ZNF148,EGR1
ATF7,EHD2
FOS,EHD2
JUN,EHD2
KLF10,EHD2
MEF2C,EHD2
MEIS2,EHD2
NR2E1,EHD2
SOX6,EHD2
TBR1,EHD2
TFAP2C,EHD2
VEZF1,EHD2
ZBTB18,EHD2
ZNF219,EHD2
ZNF441,EHD2
ARX,EIF1
ASCL1,EIF1
ATF7,EIF1
BHLHE22,EIF1
CTCF,EIF1
DEAF1,EIF1
EMX1,EIF1
FOS,EIF1
JUN,EIF1
KLF10,EIF1
KLF11,EIF1
KLF3,EIF1
MEF2C,EIF1
MEIS2,EIF1
NFIB,EIF1
NR2E1,EIF1
NR4A2,EIF1
PHF21A,EIF1
POU2F1,EIF1
POU3F2,EIF1
RFX2,EIF1
SOX2,EIF1
SOX5,EIF1
SOX6,EIF1
SOX9,EIF1
TBR1,EIF1
TCF7L1,EIF1
TFAP2C,EIF1
VEZF1,EIF1
ZBTB18,EIF1
ZBTB20,EIF1
ZNF148,EIF1
ZNF219,EIF1
ZNF281,EIF1
ZNF441,EIF1
ARX,EIF1AX
JUN,EIF1AX
KLF11,EIF1AX
KLF3,EIF1AX
MEF2C,EIF1AX
NR2E1,EIF1AX
SOX2,EIF1AX
ZNF148,EIF1AX
ZNF219,EIF1AX
ARX,EIF2S2
DEAF1,EIF2S2
NR2E1,EIF2S2
RFX2,EIF2S2
SOX2,EIF2S2
ZNF219,EIF2S2
ARX,EIF3A
ATF7,EIF3A
EMX1,EIF3A
JUN,EIF3A
KLF11,EIF3A
KLF3,EIF3A
MEF2C,EIF3A
MEIS2,EIF3A
NFIA,EIF3A
NFIB,EIF3A
NR2E1,EIF3A
NR4A2,EIF3A
POU2F1,EIF3A
RFX2,EIF3A
SATB2,EIF3A
SOX2,EIF3A
SOX6,EIF3A
SOX9,EIF3A
TBR1,EIF3A
TCF7L1,EIF3A
TFAP2C,EIF3A
ZBTB18,EIF3A
ZBTB20,EIF3A
ZNF148,EIF3A
ZNF219,EIF3A
ZNF281,EIF3A
JUN,EIF4EBP1
NEUROD2,EIF4EBP1
NR2E1,EIF4EBP1
ARX,EIF5A
ASCL1,EIF5A
ATF7,EIF5A
BHLHE22,EIF5A
CTCF,EIF5A
DEAF1,EIF5A
E2F1,EIF5A
EMX1,EIF5A
FOS,EIF5A
JUN,EIF5A
KAT7,EIF5A
KLF11,EIF5A
KLF3,EIF5A
MEF2C,EIF5A
NEUROD2,EIF5A
NEUROD6,EIF5A
NFIA,EIF5A
NFIB,EIF5A
NR2E1,EIF5A
NR4A2,EIF5A
POU2F1,EIF5A
POU3F2,EIF5A
RFX2,EIF5A
SATB2,EIF5A
SOX2,EIF5A
SOX5,EIF5A
SOX6,EIF5A
SOX9,EIF5A
TBR1,EIF5A
TCF3,EIF5A
TCF7L1,EIF5A
TFAP2C,EIF5A
VEZF1,EIF5A
ZBTB18,EIF5A
ZBTB20,EIF5A
ZNF148,EIF5A
ZNF219,EIF5A
ZNF441,EIF5A
E2F1,ELAVL2
POU3F2,ELAVL2
TBR1,ELAVL2
ZNF441,ELAVL2
SATB2,ELAVL3
SOX2,ELAVL3
E2F1,ELAVL4
ZNF441,ELAVL4
ARX,ELF1
ATF7,ELF1
BHLHE22,ELF1
CTCF,ELF1
DEAF1,ELF1
EMX1,ELF1
FOS,ELF1
JUN,ELF1
KAT7,ELF1
KLF10,ELF1
KLF11,ELF1
KLF3,ELF1
MEF2C,ELF1
MEIS2,ELF1
NEUROD6,ELF1
NFIA,ELF1
NFIB,ELF1
NR2E1,ELF1
NR4A2,ELF1
POU2F1,ELF1
POU3F1,ELF1
POU3F2,ELF1
RFX2,ELF1
SATB2,ELF1
SOX5,ELF1
SOX6,ELF1
SOX9,ELF1
TBR1,ELF1
TCF12,ELF1
TCF3,ELF1
TCF7L1,ELF1
TFAP2C,ELF1
VEZF1,ELF1
ZBTB18,ELF1
ZBTB20,ELF1
ZNF148,ELF1
ZNF219,ELF1
ZNF441,ELF1
ARX,ELK3
CTCF,ELK3
FOS,ELK3
JUN,ELK3
KAT7,ELK3
KLF3,ELK3
MEIS2,ELK3
PHF21A,ELK3
POU3F1,ELK3
POU3F2,ELK3
SATB2,ELK3
SOX2,ELK3
SOX6,ELK3
ZNF219,ELK3
NEUROD6,ELMOD1
SOX5,ELMOD1
MEF2C,ELOVL4
ZBTB20,ELOVL4
NEUROD2,EMC9
NR4A2,EMC9
POU3F1,EMC9
KLF3,EMILIN2
PHF21A,EMILIN2
ARX,EMP3
ATF7,EMP3
BHLHE22,EMP3
CTCF,EMP3
DEAF1,EMP3
E2F1,EMP3
EMX1,EMP3
FOS,EMP3
JUN,EMP3
KAT7,EMP3
KLF10,EMP3
KLF11,EMP3
KLF3,EMP3
MEF2C,EMP3
MEIS2,EMP3
NEUROD6,EMP3
NFIA,EMP3
NFIB,EMP3
NR2E1,EMP3
NR4A2,EMP3
POU2F1,EMP3
POU3F2,EMP3
RFX2,EMP3
SATB2,EMP3
SOX2,EMP3
SOX5,EMP3
SOX6,EMP3
TBR1,EMP3
TCF7L1,EMP3
TFAP2C,EMP3
VEZF1,EMP3
ZBTB18,EMP3
ZBTB20,EMP3
ZNF219,EMP3
ZNF281,EMP3
ZNF441,EMP3
EMX1,EMX1
NR2E1,EMX1
SOX9,EMX1
TFAP2C,EMX1
ZBTB18,EMX1
ZNF219,EMX1
ARX,EMX2
ASCL1,EMX2
ATF7,EMX2
BHLHE22,EMX2
CTCF,EMX2
DEAF1,EMX2
FOS,EMX2
JUN,EMX2
KAT7,EMX2
KLF10,EMX2
KLF11,EMX2
KLF3,EMX2
MEF2C,EMX2
MEIS2,EMX2
NEUROD6,EMX2
NFIA,EMX2
NFIB,EMX2
NR2E1,EMX2
NR4A2,EMX2
POU2F1,EMX2
POU3F2,EMX2
RFX2,EMX2
SATB2,EMX2
SOX5,EMX2
SOX6,EMX2
TBR1,EMX2
TCF7L1,EMX2
TFAP2C,EMX2
VEZF1,EMX2
ZBTB18,EMX2
ZBTB20,EMX2
ZNF148,EMX2
ZNF219,EMX2
ZNF441,EMX2
ARX,ENC1
KLF3,ENC1
NEUROD2,ENC1
ZNF219,ENC1
ARX,ENO1
ASCL1,ENO1
ATF7,ENO1
BHLHE22,ENO1
CTCF,ENO1
DEAF1,ENO1
E2F1,ENO1
EMX1,ENO1
FOS,ENO1
JUN,ENO1
KAT7,ENO1
KLF10,ENO1
KLF11,ENO1
KLF3,ENO1
MEF2C,ENO1
MEIS2,ENO1
NEUROD2,ENO1
NEUROD6,ENO1
NFIA,ENO1
NFIB,ENO1
NR2E1,ENO1
NR4A2,ENO1
PHF21A,ENO1
POU2F1,ENO1
POU3F2,ENO1
RFX2,ENO1
SATB2,ENO1
SOX2,ENO1
SOX5,ENO1
SOX6,ENO1
SOX9,ENO1
TBR1,ENO1
TCF12,ENO1
TCF3,ENO1
TCF7L1,ENO1
TFAP2C,ENO1
VEZF1,ENO1
ZBTB18,ENO1
ZBTB20,ENO1
ZNF148,ENO1
ZNF219,ENO1
ZNF281,ENO1
ZNF441,ENO1
POU3F2,ENO2
SOX2,ENO2
SOX6,ENO2
ZNF441,ENO2
ASCL1,ENPP2
E2F1,EOMES
EMX1,EOMES
NR2E1,EOMES
POU3F2,EOMES
SOX5,EOMES
TBR1,EOMES
TCF3,EOMES
TCF7L1,EOMES
ZBTB18,EOMES
ZNF219,EOMES
ZNF281,EOMES
ZNF441,EOMES
KLF10,EPHA4
KLF11,EPHA4
NEUROD2,EPHA4
NFIA,EPHA4
NR2E1,EPHA4
POU3F1,EPHA4
TBR1,EPHA4
TFAP2C,EPHA4
VEZF1,EPHA4
ZNF219,EPHA4
JUN,EPHA5
NEUROD2,EPHA5
NR2E1,EPHA5
PHF21A,EPHA5
SOX2,EPHA5
TBR1,EPHA5
MEF2C,EPHA7
NEUROD2,EPHA7
VEZF1,EPHA7
ZNF219,EPHA7
FOS,EPHB3
KAT7,EPHB3
KLF10,EPHB3
KLF11,EPHB3
MEIS2,EPHB3
NFIA,EPHB3
PHF21A,EPHB3
RFX2,EPHB3
SATB2,EPHB3
SOX6,EPHB3
ZNF441,EPHB3
ARX,ERBB2
ASCL1,ERBB2
ATF7,ERBB2
BHLHE22,ERBB2
CTCF,ERBB2
DEAF1,ERBB2
EMX1,ERBB2
FOS,ERBB2
JUN,ERBB2
KAT7,ERBB2
KLF10,ERBB2
KLF3,ERBB2
MEF2C,ERBB2
MEIS2,ERBB2
NEUROD2,ERBB2
NEUROD6,ERBB2
NFIA,ERBB2
NR2E1,ERBB2
PHF21A,ERBB2
POU2F1,ERBB2
POU3F2,ERBB2
RFX2,ERBB2
SOX5,ERBB2
SOX9,ERBB2
TBR1,ERBB2
TCF7L1,ERBB2
TFAP2C,ERBB2
VEZF1,ERBB2
ZBTB18,ERBB2
ZBTB20,ERBB2
ZNF219,ERBB2
ZNF281,ERBB2
ZNF441,ERBB2
KAT7,ERBB4
KLF11,ERBB4
MEIS2,ERBB4
NR2E1,ERBB4
PHF21A,ERBB4
POU3F2,ERBB4
SOX6,ERBB4
TCF3,ERBB4
VEZF1,ERBB4
ZBTB18,ERBB4
ARX,ERCC6L
KLF11,ERCC6L
MEIS2,ERCC6L
NEUROD2,ERCC6L
SOX2,ERCC6L
ZNF148,ERCC6L
ZNF219,ERCC6L
ARX,ERF
ATF7,ERF
BHLHE22,ERF
E2F1,ERF
EMX1,ERF
FOS,ERF
JUN,ERF
KLF11,ERF
NEUROD6,ERF
NFIA,ERF
NFIB,ERF
NR4A2,ERF
PHF21A,ERF
POU2F1,ERF
RFX2,ERF
SATB2,ERF
SOX6,ERF
TBR1,ERF
VEZF1,ERF
ZBTB18,ERF
ZNF148,ERF
ZNF281,ERF
BHLHE22,ERICH3
E2F1,ERICH3
EMX1,ERICH3
KLF10,ERICH3
KLF3,ERICH3
NFIB,ERICH3
POU3F2,ERICH3
RFX2,ERICH3
SOX5,ERICH3
TBR1,ERICH3
TFAP2C,ERICH3
VEZF1,ERICH3
ZBTB18,ERICH3
ZBTB20,ERICH3
ZNF148,ERICH3
ARX,ESCO2
CTCF,ESCO2
E2F1,ESCO2
MEF2C,ESCO2
NEUROD2,ESCO2
NR2E1,ESCO2
SOX2,ESCO2
SOX9,ESCO2
TBR1,ESCO2
ZNF148,ESCO2
ZNF219,ESCO2
BHLHE22,ESD
CTCF,ESD
KLF11,ESD
KLF3,ESD
MEF2C,ESD
NEUROD6,ESD
NR2E1,ESD
RFX2,ESD
SOX2,ESD
SOX9,ESD
TCF3,ESD
TCF7L1,ESD
TFAP2C,ESD
VEZF1,ESD
ZBTB20,ESD
ARX,ESPL1
BHLHE22,ESPL1
DEAF1,ESPL1
E2F1,ESPL1
EMX1,ESPL1
KLF10,ESPL1
MEF2C,ESPL1
NEUROD2,ESPL1
NFIA,ESPL1
NFIB,ESPL1
NR2E1,ESPL1
NR4A2,ESPL1
TBR1,ESPL1
VEZF1,ESPL1
ZBTB20,ESPL1
ZNF219,ESPL1
ZNF281,ESPL1
JUN,ESR2
NEUROD6,ESR2
NR2E1,ESR2
SOX2,ESR2
ZBTB18,ESR2
ZNF148,ESR2
ARX,ESRRG
ASCL1,ESRRG
ATF7,ESRRG
BHLHE22,ESRRG
CTCF,ESRRG
DEAF1,ESRRG
E2F1,ESRRG
EMX1,ESRRG
FOS,ESRRG
JUN,ESRRG
KAT7,ESRRG
KLF10,ESRRG
KLF11,ESRRG
KLF3,ESRRG
MEF2C,ESRRG
MEIS2,ESRRG
NEUROD2,ESRRG
NEUROD6,ESRRG
NFIA,ESRRG
NFIB,ESRRG
NR2E1,ESRRG
NR4A2,ESRRG
PHF21A,ESRRG
POU2F1,ESRRG
POU3F2,ESRRG
RFX2,ESRRG
SATB2,ESRRG
SOX5,ESRRG
SOX6,ESRRG
TBR1,ESRRG
TCF3,ESRRG
TCF7L1,ESRRG
TFAP2C,ESRRG
VEZF1,ESRRG
ZBTB18,ESRRG
ZBTB20,ESRRG
ZNF148,ESRRG
ZNF281,ESRRG
ZNF441,ESRRG
SOX9,ETS1
TBR1,ETS1
ZNF281,ETS1
ARX,ETV1
CTCF,ETV1
DEAF1,ETV1
FOS,ETV1
JUN,ETV1
KAT7,ETV1
KLF11,ETV1
KLF3,ETV1
MEF2C,ETV1
NEUROD2,ETV1
NEUROD6,ETV1
NFIA,ETV1
NFIB,ETV1
NR4A2,ETV1
PHF21A,ETV1
POU3F2,ETV1
RFX2,ETV1
SOX2,ETV1
SOX5,ETV1
SOX6,ETV1
SOX9,ETV1
TBR1,ETV1
TCF12,ETV1
TCF3,ETV1
TCF7L1,ETV1
ZBTB20,ETV1
ZNF219,ETV1
ZNF281,ETV1
ZNF441,ETV1
ARX,ETV4
ATF7,ETV4
BHLHE22,ETV4
CTCF,ETV4
DEAF1,ETV4
E2F1,ETV4
EMX1,ETV4
FOS,ETV4
JUN,ETV4
KAT7,ETV4
KLF10,ETV4
KLF11,ETV4
KLF3,ETV4
MEF2C,ETV4
MEIS2,ETV4
NEUROD2,ETV4
NEUROD6,ETV4
NFIA,ETV4
NFIB,ETV4
NR2E1,ETV4
NR4A2,ETV4
POU2F1,ETV4
POU3F2,ETV4
RFX2,ETV4
SATB2,ETV4
SOX2,ETV4
SOX5,ETV4
SOX6,ETV4
SOX9,ETV4
TBR1,ETV4
TCF3,ETV4
TCF7L1,ETV4
TFAP2C,ETV4
VEZF1,ETV4
ZBTB18,ETV4
ZBTB20,ETV4
ZNF148,ETV4
ZNF219,ETV4
ZNF281,ETV4
ZNF441,ETV4
ARX,ETV5
ASCL1,ETV5
ATF7,ETV5
BHLHE22,ETV5
CTCF,ETV5
DEAF1,ETV5
E2F1,ETV5
EMX1,ETV5
FOS,ETV5
JUN,ETV5
KAT7,ETV5
KLF10,ETV5
KLF11,ETV5
KLF3,ETV5
MEF2C,ETV5
MEIS2,ETV5
NEUROD2,ETV5
NEUROD6,ETV5
NFIA,ETV5
NFIB,ETV5
NR2E1,ETV5
NR4A2,ETV5
PHF21A,ETV5
POU2F1,ETV5
POU3F1,ETV5
POU3F2,ETV5
RFX2,ETV5
SATB2,ETV5
SOX2,ETV5
SOX5,ETV5
SOX6,ETV5
SOX9,ETV5
TBR1,ETV5
TCF12,ETV5
TCF3,ETV5
TCF7L1,ETV5
TFAP2C,ETV5
VEZF1,ETV5
ZBTB18,ETV5
ZBTB20,ETV5
ZNF148,ETV5
ZNF219,ETV5
ZNF281,ETV5
ZNF441,ETV5
ARX,ETV6
ASCL1,ETV6
ATF7,ETV6
BHLHE22,ETV6
DEAF1,ETV6
E2F1,ETV6
FOS,ETV6
JUN,ETV6
KAT7,ETV6
KLF10,ETV6
KLF11,ETV6
KLF3,ETV6
MEF2C,ETV6
MEIS2,ETV6
NEUROD2,ETV6
NEUROD6,ETV6
NFIA,ETV6
NFIB,ETV6
NR2E1,ETV6
NR4A2,ETV6
POU2F1,ETV6
POU3F2,ETV6
RFX2,ETV6
SATB2,ETV6
SOX5,ETV6
SOX6,ETV6
SOX9,ETV6
TBR1,ETV6
TCF3,ETV6
TCF7L1,ETV6
VEZF1,ETV6
ZBTB18,ETV6
ZBTB20,ETV6
ZNF148,ETV6
ZNF219,ETV6
ZNF281,ETV6
ARX,EVA1B
BHLHE22,EVA1B
DEAF1,EVA1B
E2F1,EVA1B
EMX1,EVA1B
FOS,EVA1B
KAT7,EVA1B
KLF10,EVA1B
KLF11,EVA1B
KLF3,EVA1B
MEF2C,EVA1B
MEIS2,EVA1B
NEUROD2,EVA1B
NEUROD6,EVA1B
NFIA,EVA1B
NFIB,EVA1B
NR2E1,EVA1B
NR4A2,EVA1B
POU2F1,EVA1B
RFX2,EVA1B
SATB2,EVA1B
SOX5,EVA1B
TBR1,EVA1B
TCF7L1,EVA1B
TFAP2C,EVA1B
VEZF1,EVA1B
ZBTB18,EVA1B
ZBTB20,EVA1B
ZNF219,EVA1B
ZNF281,EVA1B
ZNF441,EVA1B
ARX,EYA2
ASCL1,EYA2
ATF7,EYA2
BHLHE22,EYA2
CTCF,EYA2
DEAF1,EYA2
E2F1,EYA2
EMX1,EYA2
FOS,EYA2
JUN,EYA2
KAT7,EYA2
KLF10,EYA2
KLF11,EYA2
KLF3,EYA2
MEF2C,EYA2
NEUROD2,EYA2
NFIA,EYA2
NFIB,EYA2
NR2E1,EYA2
NR4A2,EYA2
PHF21A,EYA2
POU2F1,EYA2
POU3F1,EYA2
POU3F2,EYA2
RFX2,EYA2
SATB2,EYA2
SOX5,EYA2
SOX6,EYA2
SOX9,EYA2
TBR1,EYA2
TCF3,EYA2
TCF7L1,EYA2
TFAP2C,EYA2
VEZF1,EYA2
ZBTB18,EYA2
ZBTB20,EYA2
ZNF148,EYA2
ZNF219,EYA2
ZNF281,EYA2
ZNF441,EYA2
NR2E1,EZR
VEZF1,EZR
KLF10,F11R
KLF11,F11R
TBR1,F11R
ARX,F3
ASCL1,F3
ATF7,F3
BHLHE22,F3
CTCF,F3
E2F1,F3
EMX1,F3
FOS,F3
JUN,F3
KAT7,F3
KLF10,F3
KLF11,F3
KLF3,F3
MEF2C,F3
MEIS2,F3
NEUROD6,F3
NFIA,F3
NFIB,F3
NR2E1,F3
NR4A2,F3
POU2F1,F3
POU3F1,F3
POU3F2,F3
SATB2,F3
SOX2,F3
SOX5,F3
SOX6,F3
SOX9,F3
TBR1,F3
TCF7L1,F3
TFAP2C,F3
VEZF1,F3
ZBTB18,F3
ZBTB20,F3
ZNF148,F3
ZNF219,F3
ZNF441,F3
BHLHE22,FABP3
CTCF,FABP3
EMX1,FABP3
JUN,FABP3
KLF10,FABP3
MEF2C,FABP3
NFIB,FABP3
NR2E1,FABP3
POU3F1,FABP3
POU3F2,FABP3
RFX2,FABP3
SOX6,FABP3
TBR1,FABP3
TCF7L1,FABP3
TFAP2C,FABP3
ZBTB20,FABP3
ZNF441,FABP3
ARX,FABP5
ASCL1,FABP5
ATF7,FABP5
BHLHE22,FABP5
CTCF,FABP5
DEAF1,FABP5
E2F1,FABP5
EMX1,FABP5
FOS,FABP5
JUN,FABP5
KAT7,FABP5
KLF10,FABP5
KLF11,FABP5
KLF3,FABP5
MEF2C,FABP5
MEIS2,FABP5
NEUROD2,FABP5
NEUROD6,FABP5
NFIA,FABP5
NFIB,FABP5
NR2E1,FABP5
NR4A2,FABP5
PHF21A,FABP5
POU2F1,FABP5
POU3F2,FABP5
RFX2,FABP5
SATB2,FABP5
SOX2,FABP5
SOX5,FABP5
SOX6,FABP5
SOX9,FABP5
TBR1,FABP5
TCF3,FABP5
TCF7L1,FABP5
TFAP2C,FABP5
VEZF1,FABP5
ZBTB18,FABP5
ZBTB20,FABP5
ZNF148,FABP5
ZNF219,FABP5
ZNF281,FABP5
ZNF441,FABP5
ARX,FABP7
ASCL1,FABP7
ATF7,FABP7
BHLHE22,FABP7
CTCF,FABP7
DEAF1,FABP7
E2F1,FABP7
EMX1,FABP7
FOS,FABP7
JUN,FABP7
KAT7,FABP7
KLF10,FABP7
KLF11,FABP7
KLF3,FABP7
MEF2C,FABP7
MEIS2,FABP7
NEUROD2,FABP7
NEUROD6,FABP7
NFIA,FABP7
NFIB,FABP7
NR2E1,FABP7
NR4A2,FABP7
PHF21A,FABP7
POU2F1,FABP7
POU3F2,FABP7
RFX2,FABP7
SATB2,FABP7
SOX2,FABP7
SOX5,FABP7
SOX6,FABP7
SOX9,FABP7
TBR1,FABP7
TCF12,FABP7
TCF3,FABP7
TCF7L1,FABP7
TFAP2C,FABP7
VEZF1,FABP7
ZBTB18,FABP7
ZBTB20,FABP7
ZNF148,FABP7
ZNF219,FABP7
ZNF281,FABP7
ZNF441,FABP7
ARX,FADS1
ASCL1,FADS1
ATF7,FADS1
BHLHE22,FADS1
CTCF,FADS1
DEAF1,FADS1
E2F1,FADS1
EMX1,FADS1
FOS,FADS1
JUN,FADS1
KAT7,FADS1
KLF10,FADS1
KLF11,FADS1
KLF3,FADS1
MEF2C,FADS1
MEIS2,FADS1
NEUROD6,FADS1
NFIA,FADS1
NFIB,FADS1
NR2E1,FADS1
NR4A2,FADS1
PHF21A,FADS1
POU2F1,FADS1
POU3F1,FADS1
POU3F2,FADS1
RFX2,FADS1
SATB2,FADS1
SOX2,FADS1
SOX6,FADS1
SOX9,FADS1
TBR1,FADS1
TCF3,FADS1
TCF7L1,FADS1
TFAP2C,FADS1
VEZF1,FADS1
ZBTB18,FADS1
ZBTB20,FADS1
ZNF148,FADS1
ZNF219,FADS1
ZNF441,FADS1
ARX,FAM107A
ASCL1,FAM107A
ATF7,FAM107A
BHLHE22,FAM107A
CTCF,FAM107A
DEAF1,FAM107A
E2F1,FAM107A
EMX1,FAM107A
FOS,FAM107A
JUN,FAM107A
KAT7,FAM107A
KLF10,FAM107A
KLF11,FAM107A
KLF3,FAM107A
MEF2C,FAM107A
