gene,ko_gene,log2fc,padj
SLC32A1,GLI3,0.5908270226410626,1.0180229192968682e-07
ZNF248,GLI3,0.7695411396447259,1.1426113921686465e-07
NPY,GLI3,0.6078156546555,1.4627387212584608e-07
TXNIP,GLI3,0.3502648080167945,1.754445868584753e-07
SOX11,GLI3,0.30728772326970333,1.8137880086754876e-07
MYT1L,GLI3,0.5065013008066783,2.161835164216086e-07
RPS5,GLI3,-0.2310145158866157,2.2143465407464903e-07
RPS7,GLI3,-0.2619678259026257,2.7228953216315274e-07
RACK1,GLI3,-0.2679413743567354,2.963489730344678e-07
FTX,GLI3,0.32737226547746734,2.9853199379203943e-07
RPL8,GLI3,-0.24318499292471918,3.296033641088424e-07
HEY1,GLI3,-1.2443782684307447,3.872114497458552e-07
RPLP1,GLI3,-0.25185875171894967,4.6350284391921215e-07
RPL3,GLI3,-0.2485763763936948,5.274435028338308e-07
KIDINS220,GLI3,0.35542336934307084,7.383743350075633e-07
MLLT3,GLI3,0.5574315122236913,1.1624754980843477e-06
NRXN1,GLI3,0.31999144717065264,1.5018965280333418e-06
CSAD,GLI3,0.5656107058334254,1.5418148748835847e-06
LHX2,GLI3,-1.0203296077407018,1.559425752079999e-06
DAAM1,GLI3,0.2883317952201092,1.6480903433091498e-06
PBX3,GLI3,0.6740490211994339,1.6701960410259176e-06
TSC22D1,GLI3,0.32684155965970474,1.7779925896022064e-06
NAP1L3,GLI3,0.45338108990112613,1.778472930702435e-06
RPL28,GLI3,-0.20899158357017722,1.9437284231231103e-06
LAMP5,GLI3,0.7015283110074897,1.9693784967245165e-06
RPL10A,GLI3,-0.2754931536980436,2.0473743362362766e-06
RPL35,GLI3,-0.2292563904864302,2.153042123323237e-06
GRIA2,GLI3,0.3858436563666783,2.4599468595454255e-06
NACA,GLI3,-0.19982323068896246,2.871979895502858e-06
CD24,GLI3,0.30990267677271,3.179748005344152e-06
FOXG1,GLI3,0.30557650965012884,3.753065129785682e-06
RPS15,GLI3,-0.23080920522706094,4.219017163127001e-06
RPS18,GLI3,-0.22950331274587832,4.536894832269548e-06
CELF4,GLI3,0.5070395300051668,4.926528430537758e-06
DMRTA2,GLI3,-1.8671045573507314,5.19341720276126e-06
MOXD1,GLI3,0.9092098873097831,6.228593053769771e-06
MAP2,GLI3,0.23400337641994096,6.66884568634174e-06
TSPAN7,GLI3,0.3573245743886363,7.158583459343504e-06
PDE4DIP,GLI3,0.3769543128080267,7.557076437514354e-06
TKT,GLI3,-0.3421524069187061,9.701497813716186e-06
RPL19,GLI3,-0.21420275824328705,9.889071649935672e-06
LINC00632,GLI3,0.2855401137445406,1.0137989197467334e-05
RPL6,GLI3,-0.21581514727772522,1.0923093960494245e-05
RPS27,GLI3,-0.21301756819672857,1.12899005130808e-05
B3GAT2,GLI3,-1.2067732065663621,1.1402208040775278e-05
RPS15A,GLI3,-0.23287775198252447,1.2629454203594764e-05
RPL7A,GLI3,-0.2189867395605649,1.3224273246312986e-05
NREP,GLI3,0.2900577964979898,1.3467613633189046e-05
STMN4,GLI3,0.25863414699508125,1.4124580158814126e-05
SERTAD4,GLI3,0.5566355931733318,1.601322132227523e-05
GAPDH,GLI3,-0.31744605016695404,1.7440405730701158e-05
TRIM16,GLI3,0.566704673499798,1.8779906002741598e-05
PCSK1N,GLI3,0.26683606614031996,1.929025841462817e-05
NPM1,GLI3,-0.28531117997530586,2.1887361279736056e-05
SLC25A5,GLI3,-0.30210642744474536,2.1992764855368482e-05
TUBB2A,GLI3,0.21979385240739724,2.384119012610597e-05
WIPF3,GLI3,1.02033399460549,2.6087345167624676e-05
EEF1D,GLI3,-0.4040625728966778,2.619197287068109e-05
RPS6,GLI3,-0.41425560293823205,3.0835740999205414e-05
RPL12,GLI3,-0.31198472100235675,3.348932274210721e-05
POU3F4,GLI3,0.5847853629426092,3.439330340171409e-05
NFIB,GLI3,-0.8351048791925497,3.55843618552857e-05
LSAMP,GLI3,0.4251261109517115,3.573948935642335e-05
ROBO1,GLI3,0.5070482975881748,4.1109862970678535e-05
NUDT3,GLI3,0.34008451557867114,4.50105429248282e-05
MIR7-3HG,GLI3,0.6922922190996234,4.72440689982534e-05
